node_id,ontology,iri,local_id,preferred_label,synonyms,definition,semantic_category,source_version
DOID:XD002_28,DOID,https://example.org/DOID/XD002_28,XD002_28,DOID distractor 28 for D002,,Synthetic DOID concept.,disease,canonical
DOID:XD002_29,DOID,https://example.org/DOID/XD002_29,XD002_29,DOID distractor 29 for D002,,Synthetic DOID concept.,disease,canonical
DOID:XD002_30,DOID,https://example.org/DOID/XD002_30,XD002_30,DOID distractor 30 for D002,,Synthetic DOID concept.,disease,canonical
DOID:XD002_31,DOID,https://example.org/DOID/XD002_31,XD002_31,DOID distractor 31 for D002,,Synthetic DOID concept.,disease,canonical
DOID:XD002_32,DOID,https://example.org/DOID/XD002_32,XD002_32,DOID distractor 32 for D002,,Synthetic DOID concept.,disease,canonical
DOID:XD002_33,DOID,https://example.org/DOID/XD002_33,XD002_33,DOID distractor 33 for D002,,Synthetic DOID concept.,disease,canonical
DOID:XD002_34,DOID,https://example.org/DOID/XD002_34,XD002_34,DOID distractor 34 for D002,,Synthetic DOID concept.,disease,canonical
DOID:XD002_35,DOID,https://example.org/DOID/XD002_35,XD002_35,DOID distractor 35 for D002,,Synthetic DOID concept.,disease,canonical
DOID:XD002_36,DOID,https://example.org/DOID/XD002_36,XD002_36,DOID distractor 36 for D002,,Synthetic DOID concept.,disease,canonical
DOID:XD002_37,DOID,https://example.org/DOID/XD002_37,XD002_37,DOID distractor 37 for D002,,Synthetic DOID concept.,disease,canonical
DOID:D003,DOID,https://example.org/DOID/D003,D003,DOID class D003 (gold),,Synthetic DOID concept.,disease,canonical
DOID:PD003,DOID,https://example.org/DOID/PD003,PD003,DOID parent of D003,,Synthetic DOID concept.,disease,canonical
DOID:GD003,DOID,https://example.org/DOID/GD003,GD003,DOID grandparent of D003,,Synthetic DOID concept.,disease,canonical
DOID:RD003,DOID,https://example.org/DOID/RD003,RD003,DOID root above D003,,Synthetic DOID concept.,disease,canonical
DOID:CD003_1,DOID,https://example.org/DOID/CD003_1,CD003_1,DOID child 1 of D003,,Synthetic DOID concept.,disease,canonical
DOID:CD003_1_1,DOID,https://example.org/DOID/CD003_1_1,CD003_1_1,DOID grandchild 1 of child 1 of D003,,Synthetic DOID concept.,disease,canonical
DOID:CD003_1_2,DOID,https://example.org/DOID/CD003_1_2,CD003_1_2,DOID grandchild 2 of child 1 of D003,,Synthetic DOID concept.,disease,canonical
DOID:CD003_2,DOID,https://example.org/DOID/CD003_2,CD003_2,DOID child 2 of D003,,Synthetic DOID concept.,disease,canonical
DOID:CD003_2_1,DOID,https://example.org/DOID/CD003_2_1,CD003_2_1,DOID grandchild 1 of child 2 of D003,,Synthetic DOID concept.,disease,canonical
DOID:CD003_2_2,DOID,https://example.org/DOID/CD003_2_2,CD003_2_2,DOID grandchild 2 of child 2 of D003,,Synthetic DOID concept.,disease,canonical
DOID:CD003_3,DOID,https://example.org/DOID/CD003_3,CD003_3,DOID child 3 of D003,,Synthetic DOID concept.,disease,canonical
DOID:CD003_3_1,DOID,https://example.org/DOID/CD003_3_1,CD003_3_1,DOID grandchild 1 of child 3 of D003,,Synthetic DOID concept.,disease,canonical
DOID:CD003_3_2,DOID,https://example.org/DOID/CD003_3_2,CD003_3_2,DOID grandchild 2 of child 3 of D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_01,DOID,https://example.org/DOID/XD003_01,XD003_01,DOID distractor 1 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_02,DOID,https://example.org/DOID/XD003_02,XD003_02,DOID distractor 2 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_03,DOID,https://example.org/DOID/XD003_03,XD003_03,DOID distractor 3 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_04,DOID,https://example.org/DOID/XD003_04,XD003_04,DOID distractor 4 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_05,DOID,https://example.org/DOID/XD003_05,XD003_05,DOID distractor 5 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_06,DOID,https://example.org/DOID/XD003_06,XD003_06,DOID distractor 6 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_07,DOID,https://example.org/DOID/XD003_07,XD003_07,DOID distractor 7 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_08,DOID,https://example.org/DOID/XD003_08,XD003_08,DOID distractor 8 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_09,DOID,https://example.org/DOID/XD003_09,XD003_09,DOID distractor 9 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_10,DOID,https://example.org/DOID/XD003_10,XD003_10,DOID distractor 10 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_11,DOID,https://example.org/DOID/XD003_11,XD003_11,DOID distractor 11 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_12,DOID,https://example.org/DOID/XD003_12,XD003_12,DOID distractor 12 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_13,DOID,https://example.org/DOID/XD003_13,XD003_13,DOID distractor 13 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_14,DOID,https://example.org/DOID/XD003_14,XD003_14,DOID distractor 14 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_15,DOID,https://example.org/DOID/XD003_15,XD003_15,DOID distractor 15 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_16,DOID,https://example.org/DOID/XD003_16,XD003_16,DOID distractor 16 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_17,DOID,https://example.org/DOID/XD003_17,XD003_17,DOID distractor 17 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_18,DOID,https://example.org/DOID/XD003_18,XD003_18,DOID distractor 18 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_19,DOID,https://example.org/DOID/XD003_19,XD003_19,DOID distractor 19 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_20,DOID,https://example.org/DOID/XD003_20,XD003_20,DOID distractor 20 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_21,DOID,https://example.org/DOID/XD003_21,XD003_21,DOID distractor 21 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_22,DOID,https://example.org/DOID/XD003_22,XD003_22,DOID distractor 22 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_23,DOID,https://example.org/DOID/XD003_23,XD003_23,DOID distractor 23 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_24,DOID,https://example.org/DOID/XD003_24,XD003_24,DOID distractor 24 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_25,DOID,https://example.org/DOID/XD003_25,XD003_25,DOID distractor 25 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_26,DOID,https://example.org/DOID/XD003_26,XD003_26,DOID distractor 26 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_27,DOID,https://example.org/DOID/XD003_27,XD003_27,DOID distractor 27 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_28,DOID,https://example.org/DOID/XD003_28,XD003_28,DOID distractor 28 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_29,DOID,https://example.org/DOID/XD003_29,XD003_29,DOID distractor 29 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_30,DOID,https://example.org/DOID/XD003_30,XD003_30,DOID distractor 30 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_31,DOID,https://example.org/DOID/XD003_31,XD003_31,DOID distractor 31 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_32,DOID,https://example.org/DOID/XD003_32,XD003_32,DOID distractor 32 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_33,DOID,https://example.org/DOID/XD003_33,XD003_33,DOID distractor 33 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_34,DOID,https://example.org/DOID/XD003_34,XD003_34,DOID distractor 34 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_35,DOID,https://example.org/DOID/XD003_35,XD003_35,DOID distractor 35 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_36,DOID,https://example.org/DOID/XD003_36,XD003_36,DOID distractor 36 for D003,,Synthetic DOID concept.,disease,canonical
DOID:XD003_37,DOID,https://example.org/DOID/XD003_37,XD003_37,DOID distractor 37 for D003,,Synthetic DOID concept.,disease,canonical
